,dog_facilities_name,dog_facilities_type,address_name,,,,,,,,,,미용,49
0,봉봉멍스쿨 애견유치원 애견미용 애견호텔,반려동물미용,남양주 와부읍,,,,,,미용,,,,병원,24
1,덕소동물병원,동물병원,남양주 와부읍,,,,,,병원,,,,용품,28
2,하이바이분양소 남양주점,반려동물분양,남양주 와부읍,,,,,,분양,,,,장례,3
3,메디포즈동물병원,동물병원,남양주 와부읍,,,,,,병원,,,,약국,22
4,도그브릿지 강아지 방문훈련 애견교육,애견훈련,남양주 와부읍,,,,,,위탁,,,,위탁,24
5,내품애동물병원,동물병원,남양주 와부읍,,,,,,병원,,,,분양,6
6,플레이주,동물원,남양주 와부읍,,,,,,0,,,,복합시설,1
7,나은온누리약국,약국,남양주 와부읍,,,,,,약국,,,,놀이터,0
8,덕소멍묭,반려동물미용,남양주 와부읍,,,,,,미용,,,,사진,1
9,레몽,반려동물미용,남양주 와부읍,,,,,,미용,,,,,
10,멍블리,반려동물미용,남양주 와부읍,,,,,,미용,,,,,
11,예쁘개 편안하개,반려동물미용,남양주 와부읍,,,,,,미용,,,,,
12,로하스동물병원,동물병원,남양주 와부읍,,,,,,병원,,,,,
13,리틀펫애견미용호텔,반려동물호텔,남양주 와부읍,,,,,,위탁,,,,,
14,해피동물병원,동물병원,남양주 와부읍,,,,,,병원,,,,,
15,평강약국,약국,남양주 와부읍,,,,,,약국,,,,,
16,펫신드룸,동물사료제조,남양주 와부읍,,,,,,0,,,,,
17,독스하트아카데미,애견훈련,남양주 와부읍,,,,,,위탁,,,,,
18,힐링버블,반려동물미용,남양주 와부읍,,,,,,미용,,,,,
19,네이처애견훈련학교,애견훈련,남양주 와부읍,,,,,,위탁,,,,,
20,멍냥마트,반려동물용품,남양주 와부읍,,,,,,용품,,,,,
21,천사의집,애견훈련,남양주 와부읍,,,,,,위탁,,,,,
22,어질리티몰,애견훈련,남양주 와부읍,,,,,,위탁,,,,,
23,독일훈데슐레,애견훈련,남양주 와부읍,,,,,,위탁,,,,,
24,탤런트애견훈련소,애견훈련,남양주 와부읍,,,,,,위탁,,,,,
25,건강드림약국,약국,남양주 와부읍,,,,,,약국,,,,,
26,하리네쉼터 남양주본점,반려동물분양,남양주 와부읍,,,,,,분양,,,,,
27,소이공방,공방,남양주 와부읍,,반려동물을위한 가구제작 디자인을 위한곳,,,,용품,,,,,
28,펫보스,애견용품,남양주 와부읍,,,,,,용품,,,,,
29,피기에그,종합도소매,남양주 와부읍,,반려동물 용품판매,,,,용품,,,,,
30,두나펫코리아,애견사료,남양주 와부읍,,,,,,용품,,,,,
31,큐티댕냥애견강아지고양이무료분양,반려동물,남양주 와부읍,,,,,,0,,,,,
0,24시공감365동물의료센터,동물병원,남양주 진접읍,,,,,,병원,,,,,
1,꽃돌이네,반려동물미용,남양주 진접읍,,,,,,미용,,,,,
2,이리온 동물메디컬센터,동물병원,남양주 진접읍,,,,,,병원,,,,,
3,수염농장,반려동물,남양주 진접읍,,파충류샵,,,,0,,,,,
4,몽그루밍,반려동물미용,남양주 진접읍,,,,,,미용,,,,,
5,해밀동물병원,동물병원,남양주 진접읍,,,,,,병원,,,,,
6,진접 애견유치원 애견호텔 퍼피빈,반려동물,남양주 진접읍,,,,,,위탁,,,,,
7,주견야DOG,반려동물미용,남양주 진접읍,,,,,,미용,,,,,
8,진접솔동물병원,동물병원,남양주 진접읍,,,,,,병원,,,,,
9,아이묭,반려동물미용,남양주 진접읍,,,,,,미용,,,,,
10,주주펫살롱,반려동물미용,남양주 진접읍,,,,,,미용,,,,,
11,털뭉치들,반려동물미용,남양주 진접읍,,,,,,미용,,,,,
12,금강애견학교,애견훈련,남양주 진접읍,,,,,,위탁,,,,,
13,멍멍나래,반려동물미용,남양주 진접읍,,,,,,미용,,,,,
14,진접동물병원,동물병원,남양주 진접읍,,,,,,병원,,,,,
15,장현동물병원,동물병원,남양주 진접읍,,,,,,병원,,,,,
16,드림동물병원,동물병원,남양주 진접읍,,,,,,병원,,,,,
17,아무도없개 진접점,반려동물용품,남양주 진접읍,,,,,,용품,,,,,
18,밝은약국,약국,남양주 진접읍,,,,,,약국,,,,,
19,댕댕점프,반려동물,남양주 진접읍,,개 놀이터겸 호텔,,,,위탁,,,,,
20,엣지잇개,반려동물미용,남양주 진접읍,,,,,,미용,,,,,
21,광릉내애견,반려동물미용,남양주 진접읍,,,,,,미용,,,,,
