시군명,읍면동명,등록동물수,(등록주체)시군구등록,(등록주체)대행업체등록,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록품종수,등록소유자수,동물소유자당등록동물수,해당동의등록대행업체수,데이터기준일자
남양주시,와부읍,4727,337,4387,3,3040,1204,483,86,3451,1.37,5,2023-02-05
남양주시,진접읍,7026,256,6763,7,4155,2265,606,90,5066,1.39,9,2023-02-05
남양주시,화도읍,9772,532,9237,3,5930,2572,1270,109,6557,1.49,8,2023-02-05
남양주시,진건읍,1834,160,1670,4,1182,430,222,72,1310,1.4,2,2023-02-05
남양주시,오남읍,4902,226,4674,2,3381,1198,323,79,3622,1.35,3,2023-02-05
남양주시,퇴계원읍,1797,78,1719,0,1233,467,97,107,1354,1.33,1,2023-02-05
남양주시,별내면,1202,25,1176,1,604,389,209,59,891,1.35,1,2023-02-05
남양주시,수동면,1121,97,1020,4,689,238,194,81,574,1.95,0,2023-02-05
남양주시,조안면,369,44,324,1,234,86,49,57,226,1.63,0,2023-02-05
남양주시,호평동,3905,130,3774,1,2308,1158,439,89,2969,1.32,4,2023-02-05
남양주시,평내동,3038,74,2963,1,1931,897,210,72,2317,1.31,2,2023-02-05
남양주시,금곡동,1515,83,1432,0,925,440,150,62,1151,1.32,2,2023-02-05
남양주시,양정동,395,10,384,1,211,123,61,90,219,1.8,1,2023-02-05
남양주시,다산1동,6269,181,6083,5,3205,2186,878,133,4834,1.3,10,2023-02-05
남양주시,다산2동,429,1,428,0,188,116,125,75,342,1.25,3,2023-02-05
남양주시,별내동,5364,207,5157,0,2682,2288,394,79,4062,1.32,9,2023-02-05
